hemanth.jpg,[[   -1.0000,   -0.9973,   -0.8350  ...   -0.8994   -0.9952,   -0.9630]]
hemanth10.jpg,[[   -0.9999,   -0.9943,   -0.7129  ...   -0.8212   -0.9903,   -0.9261]]
hemanth2.jpg,[[   -0.9999,   -0.9955,   -0.7676  ...   -0.8100   -0.9853,   -0.9046]]
hemanth3.jpg,[[   -1.0000,   -0.9977,   -0.8362  ...   -0.8719   -0.9916,   -0.9380]]
hemanth4.jpg,[[   -0.9999,   -0.9950,   -0.7119  ...   -0.8384   -0.9915,   -0.9400]]
hemanth5.jpg,[[   -1.0000,   -0.9991,   -0.8338  ...   -0.8703   -0.9965,   -0.9565]]
hemanth6.jpg,[[   -1.0000,   -0.9982,   -0.8157  ...   -0.7857   -0.9882,   -0.9046]]
hemanth7.jpg,[[   -0.9999,   -0.9951,   -0.7163  ...   -0.8145   -0.9911,   -0.9328]]
hemanth8.jpg,[[   -1.0000,   -0.9966,   -0.6779  ...   -0.8539   -0.9962,   -0.9571]]
hemanth9.jpg,[[   -1.0000,   -0.9980,   -0.7531  ...   -0.8315   -0.9942,   -0.9353]]
zach.jpg,[[   -0.9999,   -0.9965,   -0.7589  ...   -0.7993   -0.9852,   -0.8976]]
zach10.jpg,[[   -1.0000,   -0.9969,   -0.7131  ...   -0.8257   -0.9935,   -0.9382]]
zach2.jpg,[[   -0.9999,   -0.9920,   -0.5176  ...   -0.7663   -0.9888,   -0.9140]]
zach3.jpg,[[   -1.0000,   -0.9980,   -0.7259  ...   -0.8218   -0.9932,   -0.9431]]
zach4.jpg,[[   -1.0000,   -0.9969,   -0.7423  ...   -0.8605   -0.9915,   -0.9455]]
zach5.jpg,[[   -0.9999,   -0.9938,   -0.7078  ...   -0.8195   -0.9816,   -0.9282]]
zach6.jpg,[[   -0.9999,   -0.9924,   -0.6023  ...   -0.7990   -0.9895,   -0.9297]]
zach7.jpg,[[   -1.0000,   -0.9975,   -0.7299  ...   -0.8255   -0.9949,   -0.9392]]
zach8.jpg,[[   -0.9999,   -0.9932,   -0.7167  ...   -0.8511   -0.9898,   -0.9367]]
zach9.jpg,[[   -0.9999,   -0.9940,   -0.5782  ...   -0.8294   -0.9929,   -0.9398]]
Unknown,[[   -0.9999,   -0.9935,   -0.7357  ...   -0.8032   -0.9883,   -0.9041]]
Unknown,[[   -0.9997,   -0.9877,   -0.7513  ...   -0.7726   -0.9661,   -0.8819]]
Unknown,[[   -1.0000,   -0.9960,   -0.7543  ...   -0.8440   -0.9932,   -0.9415]]
Unknown,[[   -1.0000,   -0.9980,   -0.7800  ...   -0.8502   -0.9941,   -0.9503]]
Unknown,[[   -1.0000,   -0.9982,   -0.7859  ...   -0.8284   -0.9930,   -0.9334]]
Unknown,[[   -1.0000,   -0.9958,   -0.7752  ...   -0.8477   -0.9909,   -0.9461]]
Unknown,[[   -0.9999,   -0.9947,   -0.7510  ...   -0.8259   -0.9894,   -0.9334]]
Unknown,[[   -0.9996,   -0.9826,   -0.7449  ...   -0.8004   -0.9716,   -0.8991]]
Unknown,[[   -1.0000,   -0.9985,   -0.8007  ...   -0.8608   -0.9956,   -0.9560]]
Unknown,[[   -1.0000,   -0.9960,   -0.6722  ...   -0.8335   -0.9945,   -0.9451]]
Unknown,[[   -1.0000,   -0.9979,   -0.7644  ...   -0.8306   -0.9932,   -0.9368]]
Unknown,[[   -0.9994,   -0.9791,   -0.6107  ...   -0.7786   -0.9657,   -0.8819]]
Unknown,[[   -0.9999,   -0.9941,   -0.7498  ...   -0.8064   -0.9834,   -0.9123]]
Unknown,[[   -0.9999,   -0.9951,   -0.6893  ...   -0.8015   -0.9881,   -0.9197]]
Unknown,[[   -1.0000,   -0.9982,   -0.8157  ...   -0.7857   -0.9882,   -0.9046]]
Unknown,[[   -0.9999,   -0.9938,   -0.7078  ...   -0.8195   -0.9816,   -0.9282]]
Unknown,[[   -1.0000,   -0.9969,   -0.7252  ...   -0.8457   -0.9931,   -0.9440]]
Unknown,[[   -1.0000,   -0.9988,   -0.7916  ...   -0.8432   -0.9948,   -0.9445]]
Unknown,[[   -1.0000,   -0.9983,   -0.7811  ...   -0.8360   -0.9941,   -0.9409]]
Unknown,[[   -0.9999,   -0.9940,   -0.5782  ...   -0.8294   -0.9929,   -0.9398]]
